,ticker,closemu,closesig,volmu,volsig
0,AAPL,209.1511111111111,25.99365807490327,0.22303456749999997,0.037078931386689065
1,GOOG,167.21325396825395,15.812938387445582,0.2712007223412698,0.04885448387536294
2,TSLA,238.15388888888887,79.47880275649074,0.5415539852777779,0.09035269496516032
3,NFLX,688.0874206349206,108.80676043531402,0.32751768107142853,0.08656359110856464
4,DHR,251.56337301587303,13.921652405833877,0.23075575214285712,0.039804395392988086
5,MMM,109.63281746031747,21.50287077096589,0.24961706119047616,0.048973200106801965
6,PFE,27.114722222222223,1.3785194444721378,0.24294082293650793,0.027855184767280883
7,AMZN,187.7409523809524,17.443622925373507,0.30131516773809525,0.06798332835681101
8,AMD,156.58539682539683,19.441509833929867,0.4666876644047619,0.06169707107170372
9,ABEV,2.1759623015873015,0.18168187568288413,0.27900600376984125,0.03847786888097627
10,NVDA,111.56480158730157,24.870181035556396,0.5079031154761905,0.09206547445891342
11,BAC,39.32559523809524,4.110739413869529,0.23435164305555556,0.02958234078622499
12,JPM,205.92670634920634,22.607671155708555,0.20393047940476192,0.033146215651715716
13,INTC,29.665595238095236,8.704450482943578,0.45229408436507934,0.10916774926722904
14,XOM,112.22630952380953,6.425155141866062,0.2088058434920635,0.02253096011075764
15,MSFT,420.79321428571427,15.579233508714552,0.2239448323809524,0.04263260984556589
16,C,61.727063492063486,5.7633661129693,0.2546323981349206,0.03201066870204713
17,CRM,284.7493253968254,32.26486798233876,0.3054397674206349,0.06756813767427337
18,BA,175.1513888888889,17.64783191697764,0.34163099988095236,0.046792557809585224
19,UNH,528.8175793650794,45.70503834342075,0.23327923146825397,0.050536632121451604
20,WMT,71.61123015873015,12.37698669611788,0.1868342009920635,0.04922274679922215
21,CVS,60.75436507936508,8.252884657679724,0.29736291936507936,0.07268938663241876
22,JNJ,152.53400793650795,6.7141773211268605,0.15851143388888886,0.020800799111495585
23,V,281.65944444444443,16.994256484918743,0.17746364361111108,0.03218604390314463
24,LLY,814.911388888889,79.92969175941393,0.3117095685317461,0.056763455631343426
25,BRK B,430.8123015873016,27.692665551709855,0.1485831888095238,0.021608187973259287
26,AVGO,157.05960317460315,30.726320170764104,0.40435640916666665,0.058361874038396794
27,PG,164.27039682539683,6.815402803923994,0.14384773488095237,0.028536949887745165
28,MA,476.5414682539682,30.237558908617597,0.18272024706349205,0.03315576793527962
29,MRK,115.79718253968254,10.326254686720887,0.20462914686507935,0.038564987552369145
30,HD,367.92202380952375,29.659289070350844,0.2145481313095238,0.03985054265045997
31,CVX,150.4101984126984,6.305362762129473,0.20034655710317462,0.026011866305426356
32,PEP,165.41920634920635,7.123845944498005,0.1639879500793651,0.02148939451813343
33,MCD,278.8638888888889,17.27528146678578,0.17290337539682538,0.027154170270033473
34,CSCO,50.33603174603175,4.811939678871297,0.20676332345238096,0.06100153249600761
35,COST,833.4561507936509,87.8951999280085,0.21287702456349206,0.03557221505627653
36,TMO,568.4571428571429,29.248242644303513,0.22308905726190476,0.03302712019727648
37,ADBE,517.7686904761905,49.37547396183559,0.320313426031746,0.0777169645191584
38,DIS,102.4090873015873,9.526739363951489,0.26336539277777776,0.06827877031476717
39,WFC,59.54936507936508,7.499187233095628,0.25329200976190475,0.038318704109709306
40,KR,53.96281746031747,4.399464065333628,0.22973373595238095,0.05035991705553892
41,MCK,548.9807142857143,40.68314673390717,0.22058283801587303,0.05599989693200082
42,T,18.898214285714282,2.560103876463069,0.20955641793650792,0.03680815625293098
43,CIG,1.818527380952381,0.14496472879258604,0.5302375401190476,0.2703263616997138
44,CAH,107.44329365079365,8.450532260346343,0.23126090154761905,0.042790029852613216
45,ELV,486.6226984126984,55.98726723364316,0.2312675787301587,0.05930859502672993
46,WBA,13.295357142857142,4.4624370576470405,0.4908048847222223,0.13082186436424187
47,VZ,39.55301587301587,1.8295405862451852,0.19004595432539684,0.02857690061848092
48,PSX,135.5922619047619,11.323610670117578,0.26147248357142855,0.02467369560239366
49,UPS,134.84960317460317,7.889759048912101,0.24770399400793652,0.05153230615294714
50,DELL,118.55253531746033,18.039021528388567,0.4708679508730158,0.11172562946200162
51,LOW,241.87079365079367,19.5484568879049,0.23180655603174605,0.04077248562262961
52,ADM,56.9397619047619,4.0865922963365575,0.25748546246031745,0.04000341329465823
53,GE,159.2475611111111,22.71951009041744,0.291803754484127,0.04520536312389111
54,IBM,193.79484126984127,22.383164445009974,0.23108483297619045,0.06484116254867883
55,MET,74.56420634920634,6.396037163702722,0.20927729075396825,0.03245697825040201
56,PRU,114.73349206349206,7.509019842293842,0.2102046261904762,0.03279320740256592
57,RTX,107.7070238095238,12.185764123856666,0.19306891416666666,0.040932054249280515
58,HUM,324.30801587301585,42.908467677581754,0.3483721228174603,0.10933514291599883
59,COR,232.24591269841267,8.314859422241849,0.19210050658730157,0.03225880671429507
60,VLO,144.01218253968253,13.005611185528787,0.3063796398412698,0.030577714937732363
61,CNC,70.65952380952382,6.8408043791070305,0.28928707825396827,0.05833011863839702
62,TJX,108.64170634920634,10.462471839728208,0.19118803702380952,0.04518372953657617
63,CMCSA,39.767896825396825,2.107988396776884,0.24334971734126984,0.03996282246853144
64,META,519.3142857142857,57.07571646022199,0.3545688498015873,0.0871261182347508
65,TGT,148.13234126984128,10.921359480532006,0.2908425910317461,0.09052188774326801
66,ET,15.786071428571427,1.7570048884805318,0.1608636953174603,0.027561348786050818
67,FDX,269.0087698412698,19.848125416383436,0.26574707293650796,0.0838803058468185
68,AA,36.06630952380953,5.459326997567163,0.48818697638888886,0.035980847466059444
69,COP,110.96496031746031,7.606803282177529,0.23980919773809525,0.031460579302481397
70,GS,473.6002777777778,71.02846289591923,0.23182847813492063,0.03344142694648949
71,SYY,75.03638888888888,2.7093607939712365,0.18212098428571427,0.030208693802604818
72,LMT,491.5517857142857,56.9561375618222,0.17282513702380953,0.03502110208812679
73,SNEX,79.9961507936508,11.937707869952371,0.31191379547619047,0.0794560169279609
74,MS,102.3143253968254,15.73135362243443,0.23746972408730158,0.033466197252615355
75,HP,35.51373015873016,2.985847156442812,0.3626565968650794,0.0484554060436768
76,CAT,351.7288888888889,28.39356805910234,0.2627883672222222,0.04275245014333695
77,HCA,336.7261904761905,33.56358642393564,0.25738001063492066,0.052659065679076834
78,ABBV,174.0863492063492,12.541162574901291,0.2070595215873016,0.03771061626763452
79,AIG,73.76099206349207,2.845487272272689,0.2332108832936508,0.03797327032440893
80,SNX,115.94559523809524,8.632181890236021,0.23167099293650795,0.040198917205731426
81,AXP,248.00174603174605,31.78544400076383,0.24206866948412697,0.042860766532779294
82,DAL,49.31075396825398,8.15509279365333,0.3493351761507937,0.05259342924898036
83,TSN,57.879920634920644,3.4619309251816968,0.23310436023809522,0.053846583308080884
84,DE,391.17944444444447,26.379688002934326,0.24137756119047618,0.05175882246079084
85,PGR,219.27353174603175,24.982098208585256,0.24358890579365078,0.030964318444229682
86,NKE,85.51718253968255,10.036029575477533,0.29150528857142854,0.07826544113307726
87,BBY,82.91234126984126,8.797806481112175,0.30839463123015876,0.06586933872881087
88,PBF,40.38464285714286,9.684667157914525,0.44528404035714286,0.0575427955250415
89,K,66.85817460317462,12.134092263578422,0.1501408436111111,0.08062405196646295
90,BMY,48.51587301587302,5.621703640751766,0.2544536832539682,0.03636743043697381
91,QCOM,170.25123015873018,17.67175675836849,0.3532649987301587,0.07402487060946362
92,ABT,110.13309523809524,5.253156738570549,0.19733121980158727,0.03177227515724816
93,UAL,58.87515873015873,20.590386850469752,0.4176429315873016,0.06790416968382323
